SampleNumber,CTime,Duration,EnergyData
1,0.02706489,27.06,0
2,0.1175864,90.52,2163.6
3,0.2078476,90.26,2482.3
4,0.2981307,90.28,2334.7
5,0.3888892,90.76,2003.1
6,0.4797189,90.83,1940.9
7,0.5719927,92.27,2001.2
8,0.6622385,90.25,2132.7
9,0.7522849,90.05,2133.5
10,0.8422915,90.01,2219.8
11,0.9323584,90.07,2300.4
12,1.02239,90.03,2095.5
13,1.113521,91.13,2057.1
14,1.204271,90.75,2466.3
15,1.294808,90.54,2527.6
16,1.384844,90.04,2177.3
17,1.475702,90.86,2079
18,1.566532,90.83,2143.9
19,1.656568,90.04,2010.8
20,1.747362,90.79,2013.4
21,1.837375,90.01,2069.1
22,1.92809,90.71,2015.6
23,2.018656,90.57,1994.8
24,2.110373,91.72,1984.8
25,2.20038,90.01,2028.6
26,2.291958,91.58,2104.5
27,2.382297,90.34,1953.6
28,2.472332,90.03,1944.6
29,2.562338,90.01,2154.8
30,2.652925,90.59,1971.3
31,2.743357,90.43,2215.2
32,2.833448,90.09,2036
33,2.923456,90.01,1934.8
34,3.013993,90.54,2025.8
35,3.103995,90,2029.1
36,3.194544,90.55,1989.4
37,3.288327,93.78,2115.1
38,3.378661,90.33,1880.7
39,3.469364,90.7,1829.6
40,3.560137,90.77,1919.3
41,3.650205,90.07,1884.7
42,3.740722,90.52,1882.1
43,3.831003,90.28,1956.8
44,3.922289,91.29,1927.4
45,4.012298,90.01,1902.9
46,4.10237,90.07,1889.3
47,4.19237,90,1854.1
48,4.283068,90.7,1930
49,4.37361,90.54,2100.5
50,4.463621,90.01,1808.3
51,4.553625,90,1997.5
52,4.643895,90.27,1806.8
53,4.734186,90.29,1799.5
54,4.8242,90.01,2231.2
55,4.91421,90.01,1847.5
56,5.004996,90.79,1835.4
57,5.097726,92.73,1978.5
58,5.188482,90.76,1891.4
59,5.278926,90.44,1835.9
60,5.368933,90.01,2020.6
61,5.459751,90.82,1843.4
62,5.55051,90.76,1877.5
63,5.641238,90.73,2024.7
64,5.731256,90.02,1856
65,5.821276,90.02,1816.7
66,5.911552,90.28,1841
67,6.002266,90.71,1943.6
68,6.09228,90.01,1947
69,6.182294,90.01,1869.6
70,6.272357,90.06,1831.6
71,6.362385,90.03,1884.5
72,6.452723,90.34,2064
73,6.54273,90.01,1784.3
74,6.633303,90.57,1976.1
75,6.723997,90.69,1798.1
76,6.814752,90.75,1893.7
77,6.904762,90.01,1812.2
78,6.995306,90.54,1879.8
79,7.089055,93.75,1866.9
80,7.179814,90.76,1907.5
81,7.27157,91.76,1852.2
82,7.362247,90.68,1802.2
83,7.452269,90.02,1999.3
84,7.542278,90.01,1802.1
85,7.632321,90.04,2035.3
86,7.722361,90.04,1845.9
87,7.812446,90.08,1852.8
88,7.90247,90.02,1828.7
89,7.992952,90.48,1966.1
90,8.083719,90.77,1918.6
91,8.174413,90.69,1911.6
92,8.265213,90.8,1809.1
93,8.355958,90.74,1933.1
94,8.446065,90.11,1739.3
95,8.538445,92.38,2131
96,8.63022,91.77,2048
97,8.720983,90.76,1869.4
98,8.811731,90.75,1786.6
99,8.90175,90.02,1710.8
100,8.991859,90.11,1761.4
101,9.08231,90.45,1780.5
102,9.172347,90.04,1973.9
103,9.262349,90,1670.2
104,9.352374,90.02,1709.9
105,9.442612,90.24,1715.2
106,9.533387,90.77,1751.1
107,9.624154,90.77,1815.1
108,9.714154,90,1786.9
109,9.804697,90.54,1825.9
110,9.89847,93.77,1877.4
111,9.989202,90.73,1785.3
112,10.08096,91.76,1923.3
113,10.1713,90.34,1849.4
114,10.2613,90,1764.8
115,10.35185,90.55,1818.9
116,10.44221,90.36,1825.4
117,10.53232,90.1,1687.6
118,10.62232,90,1881.7
119,10.71235,90.03,1737.5
120,10.80235,90.01,1726.3
121,10.89297,90.62,1725.2
122,10.98382,90.85,1750.4
123,11.07383,90.01,1752.9
124,11.16442,90.59,1847.7
125,11.25521,90.79,1695.7
126,11.346,90.79,1805.7
127,11.43678,90.79,1774.3
128,11.52678,90,1672.9
129,11.61737,90.58,1919.4
130,11.70802,90.66,1848
131,11.79803,90.01,1745.8
132,11.88804,90,1802.9
133,11.97991,91.87,1820.9
134,12.07068,90.76,1708.7
135,12.161,90.32,1665.5
136,12.25178,90.78,1672.2
137,12.3423,90.52,1814.9
138,12.43233,90.03,1715.1
139,12.52236,90.03,1857.5
140,12.61238,90.02,1906.7
